station,valid,tmpc,dwpc,relh,alti,mslp
RJAI,1990-07-25 00:00,30.00,22.00,62.25,29.73,M
RJAI,1990-07-25 03:00,32.00,22.00,55.53,29.71,M
RJAI,1990-07-25 06:00,32.00,23.00,59.01,29.67,M
RJAI,1990-07-26 00:00,29.00,22.00,65.95,29.69,M
RJAI,1990-07-26 03:00,32.00,24.00,62.68,29.68,M
RJAI,1990-07-26 06:00,32.00,24.00,62.68,29.65,M
RJAI,1990-07-27 03:00,30.00,20.00,55.04,29.81,M
RJAI,1990-07-27 06:00,31.00,20.00,51.98,29.79,M
RJAI,1990-07-30 03:00,30.00,21.00,58.55,29.80,M
RJAI,1990-07-30 06:00,31.00,21.00,55.29,29.75,M
RJAI,1990-07-31 06:00,31.00,21.00,55.29,29.72,M
RJAI,1990-08-01 00:00,25.00,20.00,73.78,29.76,M
RJAI,1990-08-02 00:00,28.00,23.00,74.28,29.74,M
RJAI,1990-08-02 06:00,33.00,19.00,43.61,29.70,M
RJAI,1990-08-03 00:00,28.00,21.00,65.74,29.80,M
RJAI,1990-08-03 03:00,31.00,21.00,55.29,29.76,M
RJAI,1990-08-03 06:00,31.00,21.00,55.29,29.74,M
RJAI,1990-08-04 00:00,25.00,23.00,88.67,29.70,M
RJAI,1990-08-04 03:00,29.00,24.00,74.44,29.65,M
RJAI,1990-08-06 00:00,29.00,22.00,65.95,29.53,M
RJAI,1990-08-06 03:00,31.00,22.00,58.78,29.49,M
RJAI,1990-08-06 06:00,33.00,22.00,52.48,29.45,M
RJAI,1990-08-07 00:00,29.00,22.00,65.95,29.55,M
RJAI,1990-08-07 03:00,33.00,22.00,52.48,29.51,M
RJAI,1990-08-07 06:00,36.00,23.00,47.19,29.46,M
RJAI,1990-08-08 00:00,30.00,22.00,62.25,29.62,M
RJAI,1990-08-08 03:00,34.00,24.00,56.01,29.60,M
RJAI,1990-08-08 06:00,33.00,26.00,66.75,29.61,M
RJAI,1990-08-09 00:00,27.00,24.00,83.66,29.81,M
RJAI,1990-08-09 03:00,31.00,24.00,66.35,29.80,M
RJAI,1990-08-09 06:00,28.00,25.00,83.77,29.78,M
RJAI,1990-08-10 00:00,25.00,25.00,100.00,29.48,M
RJAI,1990-08-10 03:00,24.00,24.00,100.00,29.35,M
RJAI,1990-08-10 06:00,26.00,24.00,88.75,29.34,M
RJAI,1990-08-13 00:00,28.00,23.00,74.28,29.82,M
RJAI,1990-08-13 03:00,31.00,24.00,66.35,29.79,M
RJAI,1990-08-13 06:00,32.00,25.00,66.55,29.73,M
RJAI,1990-08-14 00:00,31.00,23.00,62.47,29.82,M
RJAI,1990-08-14 03:00,34.00,23.00,52.73,29.78,M
RJAI,1990-08-14 06:00,34.00,23.00,52.73,29.77,M
RJAI,1990-08-15 00:00,31.00,22.00,58.78,29.87,M
RJAI,1990-08-15 03:00,34.00,22.00,49.62,29.86,M
RJAI,1990-08-15 06:00,34.00,22.00,49.62,29.82,M
RJAI,1990-08-16 00:00,32.00,22.00,55.53,29.89,M
RJAI,1990-08-16 03:00,35.00,21.00,44.14,29.88,M
RJAI,1990-08-16 06:00,34.00,22.00,49.62,29.84,M
RJAI,1990-08-17 00:00,31.00,22.00,58.78,29.83,M
RJAI,1990-08-17 03:00,33.00,22.00,52.48,29.78,M
RJAI,1990-08-17 06:00,33.00,22.00,52.48,29.73,M
RJAI,1990-08-18 00:00,26.00,19.00,65.33,29.80,M
RJAI,1990-08-18 03:00,31.00,19.00,48.84,29.78,M
RJAI,1990-08-20 00:00,29.00,22.00,65.95,29.88,M
RJAI,1990-08-20 03:00,33.00,22.00,52.48,29.84,M
RJAI,1990-08-20 06:00,33.00,21.00,49.36,29.81,M
RJAI,1990-08-21 00:00,30.00,23.00,66.15,29.89,M
RJAI,1990-08-21 03:00,32.00,23.00,59.01,29.87,M
RJAI,1990-08-21 06:00,34.00,21.00,46.67,29.84,M
RJAI,1990-08-22 00:00,30.00,25.00,74.61,29.80,M
RJAI,1990-08-22 03:00,31.00,25.00,70.45,29.78,M
RJAI,1990-08-22 06:00,32.00,25.00,66.55,29.75,M
RJAI,1990-08-23 00:00,31.00,24.00,66.35,29.63,M
RJAI,1990-08-23 03:00,34.00,23.00,52.73,29.61,M
RJAI,1990-08-23 06:00,34.00,24.00,56.01,29.57,M
RJAI,1990-08-24 00:00,32.00,20.00,49.10,29.68,M
RJAI,1990-08-24 03:00,35.00,20.00,41.50,29.65,M
RJAI,1990-08-24 06:00,34.00,21.00,46.67,29.62,M
RJAI,1990-08-27 00:00,27.00,14.00,44.80,29.93,M
RJAI,1990-08-27 03:00,29.00,16.00,45.34,29.93,M
RJAI,1990-08-27 06:00,30.00,15.00,40.14,29.92,M
RJAI,1990-08-28 00:00,26.00,18.00,61.36,30.06,M
RJAI,1990-08-28 03:00,28.00,18.00,54.55,30.04,M
RJAI,1990-08-28 06:00,28.00,19.00,58.08,30.00,M
RJAI,1990-08-29 00:00,25.00,20.00,73.78,30.09,M
RJAI,1990-08-29 03:00,26.00,20.00,69.52,30.06,M
RJAI,1990-08-29 06:00,28.00,20.00,61.81,30.02,M
RJAI,1990-08-30 00:00,28.00,22.00,69.90,29.99,M
RJAI,1990-08-30 03:00,31.00,21.00,55.29,29.95,M
RJAI,1990-08-30 06:00,31.00,22.00,58.78,29.89,M
RJAI,1990-08-31 00:00,28.00,22.00,69.90,29.94,M
RJAI,1990-08-31 03:00,32.00,24.00,62.68,29.90,M
RJAI,1990-08-31 06:00,33.00,23.00,55.77,29.87,M
RJAI,1990-09-01 00:00,29.00,23.00,70.08,29.95,M
RJAI,1990-09-01 03:00,31.00,22.00,58.78,29.94,M
RJAI,1990-09-03 00:00,28.00,20.00,61.81,29.76,M
RJAI,1990-09-03 03:00,30.00,21.00,58.55,29.70,M
RJAI,1990-09-03 06:00,30.00,21.00,58.55,29.65,M
RJAI,1990-09-04 00:00,29.00,22.00,65.95,29.75,M
RJAI,1990-09-04 03:00,33.00,21.00,49.36,29.73,M
RJAI,1990-09-04 06:00,32.00,20.00,49.10,29.73,M
RJAI,1990-09-05 00:00,25.00,19.00,69.33,30.03,M
RJAI,1990-09-05 03:00,26.00,20.00,69.52,30.03,M
RJAI,1990-09-05 06:00,27.00,20.00,65.54,30.02,M
RJAI,1990-09-06 00:00,25.00,21.00,78.48,30.12,M
RJAI,1990-09-06 03:00,28.00,21.00,65.74,30.10,M
RJAI,1990-09-06 06:00,30.00,21.00,58.55,30.06,M
RJAI,1990-09-07 00:00,22.00,17.00,73.27,30.15,M
RJAI,1990-09-07 03:00,21.00,20.00,94.01,30.15,M
RJAI,1990-09-07 06:00,20.00,19.00,93.97,30.10,M
RJAI,1990-09-10 00:00,23.00,15.00,60.67,29.94,M
RJAI,1990-09-10 03:00,28.00,19.00,58.08,29.91,M
RJAI,1990-09-10 06:00,30.00,18.00,48.58,29.86,M
RJAI,1990-09-11 00:00,25.00,20.00,73.78,29.88,M
RJAI,1990-09-11 03:00,29.00,21.00,62.03,29.80,M
RJAI,1990-09-11 06:00,30.00,23.00,66.15,29.75,M
RJAI,1990-09-12 00:00,30.00,22.00,62.25,29.67,M
RJAI,1990-09-12 03:00,32.00,22.00,55.53,29.63,M
RJAI,1990-09-12 06:00,33.00,22.00,52.48,29.59,M
RJAI,1990-09-13 00:00,28.00,23.00,74.28,29.82,M
RJAI,1990-09-13 03:00,28.00,24.00,78.90,29.81,M
RJAI,1990-09-13 06:00,29.00,21.00,62.03,29.79,M
RJAI,1990-09-14 00:00,23.00,21.00,88.51,30.04,M
RJAI,1990-09-14 03:00,23.00,21.00,88.51,30.02,M
RJAI,1990-09-14 06:00,23.00,21.00,88.51,29.98,M
RJAI,1990-09-17 00:00,21.00,20.00,94.01,29.99,M
RJAI,1990-09-17 03:00,22.00,21.00,94.06,29.96,M
RJAI,1990-09-17 06:00,25.00,23.00,88.67,29.91,M
RJAI,1990-09-18 00:00,28.00,23.00,74.28,29.83,M
RJAI,1990-09-18 03:00,30.00,22.00,62.25,29.80,M
RJAI,1990-09-18 06:00,30.00,22.00,62.25,29.78,M
RJAI,1990-09-19 00:00,27.00,24.00,83.66,29.79,M
RJAI,1990-09-19 06:00,31.00,21.00,55.29,29.68,M
RJAI,1990-09-20 00:00,27.00,19.00,61.58,29.30,M
RJAI,1990-09-20 03:00,31.00,16.00,40.41,29.44,M
RJAI,1990-09-20 06:00,31.00,14.00,35.53,29.54,M
RJAI,1990-09-21 00:00,22.00,14.00,60.44,30.07,M
RJAI,1990-09-21 03:00,24.00,14.00,53.55,30.07,M
RJAI,1990-09-21 06:00,24.00,13.00,50.17,30.06,M
